Local Area,Source,Region,NAICS,Notice Link,Affected Occupation,Date Received,Union,Comments,Workforce Area,Affected Occupations,County,Projected Dates,Projected Date,Employees,County: Local  Name,NAICS Code,Notice URL,Company Contact,Closure or Layoff?,Company Address,Closure/Layoff,Location,NAICS/SIC,NEG,NAFTA/Trade,Industry,Congressional ,County/Counties,Trade,Company Name,SIC
,,Northern Kentucky,,WARN,,2022-01-20 00:00:00,,,,,Campbell,,2022-03-19 00:00:00,150.0,,424480.0,,,Layiff,,,,,,,,,,No,Castellini Group of Companies,
,,Bluegrass,,WARN,,2022-01-12 00:00:00,,,,,Fayette,,2022-04-01 00:00:00,169.0,,454390.0,,,Closure,,,,,,,,,,No,Scentsy  Inc,
,,Western Kentucky,,WARN,,2022-01-10 00:00:00,,,,,Graves,,2021-12-10 00:00:00,501.0,,339999.0,,,Closure,,,,,,,,,,No,Mayfield Consumer Products,
,,Kentuckiana Works,,WARN,,2021-11-16 00:00:00,,,,,Jefferson,,2022-10-31 00:00:00,60.0,,333517.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001M0Yn/cv5Vm4VV8DQo6IRIgtLomZnw2Rhaus9oNWIqGtjtvNI,,Closure,,,,,,,,,,No,Emerson - Greenlee (Greenlee Professional Tools),
,,Northern Kentucky,,WARN,,2021-11-04 00:00:00,,,,,Boone,,2021-12-31 00:00:00,134.0,,532120.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001EzjG/MqsuLcBX4U_SNzvL_dPKy4eQ12F6hsuwEAA1rPi3E6c,,Closure,,,,,,,,,,No,Ryder Distribution Center at FRAM Group - Worldwide Blvd,
,,Lincoln Trail,,WARN,,2021-10-05 00:00:00,,,,,Hardin,,2021-11-30 00:00:00,178.0,,561110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000yNWq/fkzXuhdV5JgCrxUX3XY9AkJPzPKCfrnHn1BayKUv03o,,Closure,,,,,,,,,,No,Bluegrass Cellular-Elizabethtown,
,,Western Kentucky,,WARN,,2021-09-29 00:00:00,,,,,Christian,,2022-07-15 00:00:00,40.0,,339999.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000vHHY/5QXFGFAAg3s77VoPoLZeDKwLajXDJRIno_EtvbEDS6o,,Closure,,,,,,,,,,TBD,Vitech Manufacturing LP,
,,Kentuckianaworks,,WARN,,2021-09-21 00:00:00,,,,,Jefferson,,2021-10-16 00:00:00,95.0,,62331.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000002BCrv/TSd8M85stEq3c3n9JMbv4Gyum4cLTAsTcWSOp.dS_Gw,,Closure,,,,,,,,,,No,Regis Woods Care and Rehab Center,
,,Bluegrass,,WARN,,2021-07-27 00:00:00,,,,,Fayette,,2021-09-30 00:00:00,659.0,,333415.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000025Bq4/eQmUMPAyugRGX0qXL88WdtQvSvs_Fk3HdyTYNTiPKFE,,Closure,,,,,,,,,,No,TRANE U.S. Inc.,
,,Bluegrass,,WARN,,2021-06-08 00:00:00,,,,,Madison,,2021-07-31 00:00:00,54.0,,336370.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y9Wa/jpUbU26tJli_2mvE7pASwrM6yLvQOYvdTRlg2u_zgMU,,Closure,,,,,,,,,,No,P-K Tool & Manufacturing Company,
,,Kentuckianaworks,,WARN,,2021-05-28 00:00:00,,,,,Jefferson,,2021-07-30 00:00:00,137.0,,488510.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y2Hd/F7RHwrphXHaMi_iiR2KeT5R5jvBFOGBcLu8e7jNxUSg,,Layoff,,,,,,,,,,No,UPS Supply Chain Solutions,
,,Cumberlands,,WARN,,2021-05-03 00:00:00,,,,,Laurel,,2021-06-30 00:00:00,60.0,,518210.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xoID/sPPHhQ8cHcN9xIAce4_ScJq1.nxC9d5yhkigosxnrxw,,Closure,,,,,,,,,,No,Novitex Government Solutions,
,,Kentuckianaworks,,WARN,,2021-04-30 00:00:00,,,,,Jefferson,,2021-07-01 00:00:00,56.0,,541330.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xm2m/co5iz.giYnnM7AEvPWZeqmXVjaeTVD5NX2tdvo0gKAs,,Layoff,,,,,,,,,,No,PULAU Corporation,
