Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
1/4/10,0.023,-0.0233,0.0059,0.0034,0.0057,-0.0033
1/5/10,0.0259,-0.0209,0.0064,0.0053,-0.0067,0.0018
1/6/10,0.0035,-0.0058,-0.0004,0.0015,-0.0034,-0.0021
1/7/10,0.0261,-0.0092,-0.0085,0.0084,0.0088,0.0019
1/8/10,0.0013,-0.0018,0.002,0.0078,0.0075,-0.0025
1/11/10,-0.0027,0.0009,-0.0047,-0.0001,0.0034,-0.0033
1/12/10,-0.016,0.0167,-0.0121,-0.001,0.0016,0.0032
1/13/10,0.0091,-0.0063,0.0039,0.0019,0.0011,0.0002
1/14/10,0.0066,-0.003,-0.0012,0.0018,0.0067,-0.0038
1/15/10,-0.0065,0.0105,-0.0052,0.0087,0.0031,-0.0004
1/19/10,0.0018,-0.0046,0.001,-0.0026,0.0007,0.0024
1/20/10,0.0049,0.0002,-0.0054,0.009,0.0024,0.0046
1/21/10,-0.0062,0.0169,-0.0101,0.009,0.0019,0.0084
1/22/10,-0.0152,0.0105,-0.0158,-0.0012,0.0089,-0.0054
1/25/10,0.0026,-0.0067,0.0055,0.0004,-0.0058,-0.0044
1/26/10,-0.0038,0.0117,0.0001,0.0043,-0.0019,0.003
1/27/10,0.0059,0.0024,-0.0016,-0.0042,0.0011,0.0066
1/28/10,-0.002,0.0032,-0.0065,0.0059,0.0036,-0.0054
1/29/10,-0.0046,0.0133,-0.0124,0.0002,0.0043,-0.0003
2/2/10,0.0076,-0.0101,0.0047,-0.0011,-0.009,-0.0009
2/3/10,-0.0128,0.0134,0.0023,0.0014,0.0027,0.01
2/4/10,-0.0244,0.0214,-0.0156,0.0025,0.0061,-0.0039
2/5/10,-0.0003,-0.0022,0.0005,-0.0017,0.0011,-0.001
2/8/10,-0.004,-0.002,0.0001,0.0023,0.0014,0.0042
2/9/10,0.0134,-0.0122,0.0088,0.0002,-0.003,-0.003
2/10/10,0.0025,-0.0002,0.0023,0.0006,0.0033,0.007
2/11/10,0.0073,-0.013,0.0091,-0.0014,0.0028,-0.0004
2/12/10,0.0038,-0.0055,0.0052,-1.00E-04,0.0064,0
2/16/10,0.0109,-0.0143,0.009,0.0022,-0.0057,-0.0056
2/17/10,-0.0036,0.0051,0.0001,0.0003,0.0008,0.0019
2/18/10,-0.0027,0.0079,0.001,-0.0025,-0.0011,-0.0014
2/19/10,0.003,-0.0081,-0.0022,0.0051,-0.0023,-0.0059
2/22/10,0,-0.0012,0.0015,0.0028,0.0066,0.0075
2/23/10,-0.0156,0.0155,-0.0104,-0.0023,0.0082,0
2/24/10,0.0034,0.0007,0.0053,0.0018,-0.0049,0.0047
2/25/10,0.0001,-0.0039,0.0049,0.0007,-0.0041,-0.0025
2/26/10,0.0079,-0.0044,0.0042,0.0022,-0.0024,0.003
3/2/10,0.0052,-0.0022,0.0012,0.0015,0.0064,0.0012
3/3/10,0.0025,-0.0046,0.0007,0.004,0.0029,0.0034
3/4/10,-0.0005,0.0014,0.0037,0.0068,0.0061,0.0033
3/5/10,0.0086,-0.0123,0.0088,0.0021,0.002,-0.0017
3/8/10,0.0057,-0.0011,0.0011,0.0027,0.0048,-0.0005
3/9/10,0.0063,-0.0077,0.0038,0.0016,0.0029,0.0029
3/10/10,0.0131,-0.0083,0.004,0.0043,0.0018,0.0042
3/11/10,0.0047,0.0014,-0.0008,-0.0014,0.0009,-0.0009
3/12/10,-0.0009,-0.0015,0.0028,-0.0002,-0.0025,-0.0031
3/15/10,-0.0066,0.013,-0.0067,-0.0023,-0.0025,-0.001
3/16/10,0.0127,-0.013,0.0032,0.0025,-0.003,-0.0006
3/17/10,0.0063,-0.005,0.001,0.0011,-0.0027,-0.0027
3/18/10,-0.0086,0.0172,-0.0052,-0.0036,0.0005,0.0101
3/19/10,-0.015,0.0155,-0.0152,-0.0046,-0.0018,0.0023
3/22/10,0.0098,-0.0093,0.0088,-0.0028,-0.0002,0.0041
3/23/10,0.0051,-0.0119,0.0084,0.0028,0.0031,0.0019
3/24/10,0.0057,-0.0063,0.0042,0.006,0.0017,-0.0075
3/25/10,-0.0094,0.0148,-0.0015,0.005,0.002,0.0085
3/26/10,0.0023,-0.0044,0.0035,0.0012,-0.0002,0.0029
3/29/10,0.0021,-0.0037,0.0016,-0.001,-0.0044,-0.0114
3/30/10,-0.0085,0.0076,-0.0011,0.0019,0.0016,0.0007
3/31/10,0.0043,0.0014,-0.0014,0.0007,-0.001,-0.0023
4/5/10,0.01,-0.0195,0.0101,0.0022,0.0058,-0.0026
4/6/10,0.0077,-0.0084,0.0023,0.0063,0.0063,-0.0033
4/7/10,-0.0037,0.005,-0.0043,0.0046,0.0084,0.0063
4/8/10,0.0076,-0.007,0.0026,0.006,0.0026,-0.0045
4/9/10,0.0008,-0.0011,0.0008,0.0034,-0.0019,-0.0017
4/12/10,0.007,-0.0046,-0.0014,0.0007,0.0052,0.0036
4/13/10,-0.004,0.0016,0.0014,0.0011,0.0026,0.0026
4/14/10,0.0172,-0.014,0.0092,0.0058,0.0097,0.0104
4/15/10,0.0024,0.0057,0.0021,0.002,0.006,-0.0013
