Date,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Technology,Telecomm,Utilities,Real Estate,Energy,sp_500
2003-01-02,125.57,198.75,189.19,208.56,317.39,307.18,230.63,113.52,100.08,83.45,186.8,909.03
2003-01-03,125.52,198.17,185.18,208.12,320.52,307.17,232.48,113.82,100.87,84.31,186.68,908.59
2003-01-06,127.85,201.03,188.27,209.08,323.47,316.24,240.15,122.39,105.25,85.55,189.65,929.01
2003-01-07,127.13,199.09,187.82,207.56,318.97,313.47,244.68,121.08,102.73,84.39,183.05,922.93
2003-01-08,123.96,196.24,185.63,206.51,316.05,310.14,238.04,115.51,103.59,83.47,182.16,909.93
2003-01-09,125.9,199.16,191.2,208.97,320.43,316.0,245.87,116.3,103.73,84.04,185.29,927.57
2003-01-10,127.01,198.45,192.03,208.94,319.95,315.7,247.89,115.19,103.0,82.91,183.19,927.57
2003-01-13,126.63,197.94,191.87,209.94,319.65,316.42,246.34,115.63,100.58,82.11,182.5,926.26
2003-01-14,127.02,198.38,192.46,210.03,319.49,319.27,249.61,117.89,101.06,82.18,183.36,931.66
2003-01-15,124.7,195.42,189.8,207.91,315.54,314.38,244.42,114.91,100.85,81.41,182.85,918.22
2003-01-16,125.83,195.42,189.35,211.0,314.98,312.06,239.69,112.44,100.7,80.9,184.29,914.6
2003-01-17,124.65,193.6,187.24,210.55,314.09,310.98,227.14,109.25,99.78,79.89,182.41,901.78
2003-01-21,122.28,189.21,182.35,208.26,311.96,305.76,225.71,107.09,98.11,79.17,178.24,887.62
2003-01-22,120.78,184.98,179.7,206.62,311.54,301.22,224.21,107.28,97.16,79.51,176.9,878.36
2003-01-23,122.41,188.03,183.38,204.53,312.8,304.65,231.8,102.07,98.32,80.05,177.05,887.34
2003-01-24,119.36,183.15,178.89,200.48,305.13,293.74,222.38,98.39,95.94,78.36,173.37,861.4
2003-01-27,116.11,181.14,175.74,197.65,298.21,289.69,219.61,99.04,92.84,77.81,168.29,847.48
2003-01-28,117.27,183.35,177.92,198.36,304.14,292.83,223.22,98.57,95.28,78.16,171.83,858.54
2003-01-29,117.61,183.36,179.51,196.17,307.06,293.3,226.69,99.72,95.31,78.96,177.73,864.36
2003-01-30,114.91,179.84,174.7,192.49,301.57,286.76,218.73,97.61,93.86,77.77,174.95,844.61
2003-01-31,116.56,183.11,176.73,197.1,307.04,291.3,216.44,100.25,94.5,79.35,178.38,855.7
2003-02-03,116.99,184.37,177.12,197.61,307.28,292.89,218.01,102.05,95.38,78.56,180.5,860.32
2003-02-04,116.36,182.11,173.06,197.83,302.48,285.73,214.67,102.17,94.25,79.12,181.45,848.2
2003-02-05,116.01,181.73,172.56,196.87,300.75,283.74,213.59,101.7,92.73,79.49,179.69,843.59
2003-02-06,114.59,180.62,172.78,195.2,300.71,279.59,212.94,100.3,92.09,79.27,177.98,838.15
2003-02-07,114.18,179.21,170.53,193.43,298.84,277.1,209.48,99.51,90.58,79.16,176.21,829.69
2003-02-10,114.65,179.6,171.18,194.91,301.18,279.33,213.04,99.05,91.02,80.0,178.35,835.97
2003-02-11,113.6,178.28,171.11,191.83,298.77,275.74,213.06,97.32,89.23,79.09,177.24,829.2
2003-02-12,112.7,175.97,169.77,191.73,293.67,272.51,210.28,95.36,86.3,78.57,173.52,818.68
2003-02-13,113.34,174.59,167.91,191.95,291.19,273.99,210.96,94.46,87.52,78.74,174.12,817.37
2003-02-14,113.49,178.09,172.69,195.03,294.11,280.17,218.72,97.5,88.84,78.53,175.83,834.89
2003-02-18,115.8,180.82,175.96,196.27,301.4,284.73,226.59,99.03,89.77,79.36,178.0,851.17
2003-02-19,114.34,181.06,173.61,194.58,299.39,283.33,224.71,96.62,89.36,79.87,178.18,845.13
2003-02-20,113.24,179.32,171.98,192.48,296.49,281.04,223.66,91.74,89.82,79.81,177.44,837.1
2003-02-21,115.21,181.65,175.05,194.49,300.28,284.43,226.28,92.66,90.52,80.65,180.85,848.17
2003-02-24,112.48,177.42,170.33,191.59,295.09,278.24,221.98,92.07,90.01,79.89,181.49,832.58
2003-02-25,112.02,179.12,172.99,193.35,297.02,280.2,222.45,93.3,90.74,80.92,180.99,838.57
