Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
Apple Inc.,AAPL,03783310,2046251,6.495123,Information Technology,166943220.00,USD,,,,,,,,,,
Microsoft Corporation,MSFT,59491810,2588173,5.808424,Information Technology,80727180,USD,,,,,,,,,,
Amazon.com Inc.,AMZN,02313510,2000019,2.833635,Consumer Discretionary,4713761,USD,,,,,,,,,,
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.889667,Communication Services,3239266,USD,,,,,,,,,,
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.753381,Communication Services,2991670,USD,,,,,,,,,,
Tesla Inc,TSLA,88160R10,B616C79,1.726711,Consumer Discretionary,9016374,USD,,,,,,,,,,
Berkshire Hathaway Inc. Class B,BRK.B,08467070,2073390,1.667980,Financials,19725160,USD,,,,,,,,,,
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.379069,Health Care,10147592,USD,,,,,,,,,,
Johnson & Johnson,JNJ,47816010,2475833,1.377359,Health Care,28363458,USD,,,,,,,,,,
NVIDIA Corporation,NVDA,67066G10,2379504,1.300636,Information Technology,26926070,USD,,,,,,,,,,
Meta Platforms Inc. Class A,FB,30303M10,B7TL820,1.290029,Communication Services,24878024,USD,,,,,,,,,,
Exxon Mobil Corporation,XOM,30231G10,2326618,1.192272,Energy,45593012,USD,,,,,,,,,,
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.114748,Financials,31826432,USD,,,,,,,,,,
Procter & Gamble Company,PG,74271810,2704407,1.023224,Consumer Staples,25815018,USD,,,,,,,,,,
Visa Inc. Class A,V,92826C83,B2PZN04,1.007904,Information Technology,17860294,USD,,,,,,,,,,
Chevron Corporation,CVX,16676410,2838555,0.992613,Energy,20772740,USD,,,,,,,,,,
Home Depot Inc.,HD,43707610,2434209,0.922033,Consumer Discretionary,11252684,USD,,,,,,,,,,
Pfizer Inc.,PFE,71708110,2684703,0.883648,Health Care,60484756,USD,,,,,,,,,,
Mastercard Incorporated Class A,MA,57636Q10,B121557,0.880551,Information Technology,9300427,USD,,,,,,,,,,
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.776197,Health Care,19050814,USD,,,,,,,,,,
Bank of America Corp,BAC,06050510,2295677,0.760092,Financials,76601150,USD,,,,,,,,,,
Coca-Cola Company,KO,19121610,2206657,0.728885,Consumer Staples,41891684,USD,,,,,,,,,,
Eli Lilly and Company,LLY,53245710,2516152,0.725725,Health Care,8555984,USD,,,,,,,,,,
PepsiCo Inc.,PEP,71344810,2681511,0.686234,Consumer Staples,14908089,USD,,,,,,,,,,
Merck & Co. Inc.,MRK,58933Y10,2778844,0.679914,Health Care,27219804,USD,,,,,,,,,,
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.662954,Information Technology,4449180,USD,,,,,,,,,,
Verizon Communications Inc.,VZ,92343V10,2090571,0.624175,Communication Services,45237796,USD,,,,,,,,,,
