Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS,Real Yield,Yield Curve
1/4/2010,0.023,-0.0233,0.0059,0.0034,0.0057,-0.0033,1.47,2.76
1/5/2010,0.0259,-0.0209,0.0064,0.0053,-0.0067,0.0018,1.43,2.76
1/6/2010,0.0035,-0.0058,-0.0004,0.0015,-0.0034,-0.0021,1.48,2.84
1/7/2010,0.0261,-0.0092,-0.0085,0.0084,0.0088,0.0019,1.44,2.82
1/8/2010,0.0013,-0.0018,0.002,0.0078,0.0075,-0.0025,1.41,2.87
1/11/2010,-0.0027,0.0009,-0.0047,-0.0001,0.0034,-0.0033,1.47,2.9
1/12/2010,-0.016,0.0167,-0.0121,-0.001,0.0016,0.0032,1.35,2.82
1/13/2010,0.0091,-0.0063,0.0039,0.0019,0.0011,0.0002,1.43,2.83
1/14/2010,0.0066,-0.003,-0.0012,0.0018,0.0067,-0.0038,1.4,2.82
1/15/2010,-0.0065,0.0105,-0.0052,0.0087,0.0031,-0.0004,1.34,2.81
1/19/2010,0.0018,-0.0046,0.001,-0.0026,0.0007,0.0024,1.35,2.8
1/20/2010,0.0049,0.0002,-0.0054,0.009,0.0024,0.0046,1.31,2.76
1/21/2010,-0.0062,0.0169,-0.0101,0.009,0.0019,0.0084,1.29,2.75
1/22/2010,-0.0152,0.0105,-0.0158,-0.0012,0.0089,-0.0054,1.31,2.78
1/25/2010,0.0026,-0.0067,0.0055,0.0004,-0.0058,-0.0044,1.33,2.8
1/26/2010,-0.0038,0.0117,0.0001,0.0043,-0.0019,0.003,1.31,2.78
1/27/2010,0.0059,0.0024,-0.0016,-0.0042,0.0011,0.0066,1.35,2.76
1/28/2010,-0.002,0.0032,-0.0065,0.0059,0.0036,-0.0054,1.35,2.81
1/29/2010,-0.0046,0.0133,-0.0124,0.0002,0.0043,-0.0003,1.3,2.81
2/2/2010,0.0076,-0.0101,0.0047,-0.0011,-0.009,-0.0009,1.26,2.81
2/3/2010,-0.0128,0.0134,0.0023,0.0014,0.0027,0.01,1.3,2.85
2/4/2010,-0.0244,0.0214,-0.0156,0.0025,0.0061,-0.0039,1.27,2.82
2/5/2010,-0.0003,-0.0022,0.0005,-0.0017,0.0011,-0.001,1.32,2.82
2/8/2010,-0.004,-0.002,0.0001,0.0023,0.0014,0.0042,1.35,2.83
2/9/2010,0.0134,-0.0122,0.0088,0.0002,-0.003,-0.003,1.37,2.83
2/10/2010,0.0025,-0.0002,0.0023,0.0006,0.0033,0.007,1.44,2.81
2/11/2010,0.0073,-0.013,0.0091,-0.0014,0.0028,-0.0004,1.47,2.82
2/12/2010,0.0038,-0.0055,0.0052,-1.00E-04,0.0064,0,1.46,2.85
2/16/2010,0.0109,-0.0143,0.009,0.0022,-0.0057,-0.0056,1.42,2.84
2/17/2010,-0.0036,0.0051,0.0001,0.0003,0.0008,0.0019,1.46,2.87
2/18/2010,-0.0027,0.0079,0.001,-0.0025,-0.0011,-0.0014,1.48,2.89
2/19/2010,0.003,-0.0081,-0.0022,0.0051,-0.0023,-0.0059,1.52,2.83
2/22/2010,0,-0.0012,0.0015,0.0028,0.0066,0.0075,1.55,2.89
2/23/2010,-0.0156,0.0155,-0.0104,-0.0023,0.0082,0,1.5,2.82
2/24/2010,0.0034,0.0007,0.0053,0.0018,-0.0049,0.0047,1.51,2.83
2/25/2010,0.0001,-0.0039,0.0049,0.0007,-0.0041,-0.0025,1.51,2.82
2/26/2010,0.0079,-0.0044,0.0042,0.0022,-0.0024,0.003,1.48,2.8
3/2/2010,0.0052,-0.0022,0.0012,0.0015,0.0064,0.0012,1.46,2.82
3/3/2010,0.0025,-0.0046,0.0007,0.004,0.0029,0.0034,1.46,2.81
3/4/2010,-0.0005,0.0014,0.0037,0.0068,0.0061,0.0033,1.44,2.75
3/5/2010,0.0086,-0.0123,0.0088,0.0021,0.002,-0.0017,1.48,2.78
3/8/2010,0.0057,-0.0011,0.0011,0.0027,0.0048,-0.0005,1.49,2.82
3/9/2010,0.0063,-0.0077,0.0038,0.0016,0.0029,0.0029,1.48,2.82
3/10/2010,0.0131,-0.0083,0.004,0.0043,0.0018,0.0042,1.49,2.81
3/11/2010,0.0047,0.0014,-0.0008,-0.0014,0.0009,-0.0009,1.49,2.76
3/12/2010,-0.0009,-0.0015,0.0028,-0.0002,-0.0025,-0.0031,1.45,2.74
3/15/2010,-0.0066,0.013,-0.0067,-0.0023,-0.0025,-0.001,1.46,2.75
3/16/2010,0.0127,-0.013,0.0032,0.0025,-0.003,-0.0006,1.42,2.73
3/17/2010,0.0063,-0.005,0.001,0.0011,-0.0027,-0.0027,1.4,2.7
3/18/2010,-0.0086,0.0172,-0.0052,-0.0036,0.0005,0.0101,1.45,2.7
3/19/2010,-0.015,0.0155,-0.0152,-0.0046,-0.0018,0.0023,1.5,2.68
3/22/2010,0.0098,-0.0093,0.0088,-0.0028,-0.0002,0.0041,1.48,2.66
3/23/2010,0.0051,-0.0119,0.0084,0.0028,0.0031,0.0019,1.49,2.67
3/24/2010,0.0057,-0.0063,0.0042,0.006,0.0017,-0.0075,1.6,2.76
3/25/2010,-0.0094,0.0148,-0.0015,0.005,0.002,0.0085,1.65,2.81
3/26/2010,0.0023,-0.0044,0.0035,0.0012,-0.0002,0.0029,1.62,2.82
3/29/2010,0.0021,-0.0037,0.0016,-0.001,-0.0044,-0.0114,1.66,2.84
3/30/2010,-0.0085,0.0076,-0.0011,0.0019,0.0016,0.0007,1.66,2.82
3/31/2010,0.0043,0.0014,-0.0014,0.0007,-0.001,-0.0023,1.6,2.82
4/5/2010,0.01,-0.0195,0.0101,0.0022,0.0058,-0.0026,1.7,2.83
4/6/2010,0.0077,-0.0084,0.0023,0.0063,0.0063,-0.0033,1.68,2.84
4/7/2010,-0.0037,0.005,-0.0043,0.0046,0.0084,0.0063,1.55,2.83
4/8/2010,0.0076,-0.007,0.0026,0.006,0.0026,-0.0045,1.58,2.82
